"uid","name","slug","url","created_at","edited_at"
"BJEFWLQRU","AECD - Association pour l'Education Cognitive et le Développement","aecd","https://www.aecd.fr/ultramarin/","2022-09-17 19:35:37","2022-09-17 19:40:16"
"ESGVTPSMZ","DNDC - DIGITAL NUMÉRIQUE DOMOTIQUE COMMUNICATION - OF / CFA","cfa-numerique","https://cfanumeriquemartinique.com/","2022-09-17 19:46:41","2022-09-17 19:46:41"
